date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:10	774/774	---M-Z	200	added ('OK')	text/css	date:Tue,%2018%20May%202021%2019:09:03%20GMT	https://barestostudio.com/wp-content/plugins/az-video-and-audio-player-addon-for-elementor/assets/css/main.css?ver=6.0	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/az-video-and-audio-player-addon-for-elementor/assets/css/mainf049.css	(from https://barestostudio.com/maesha-rifaldi/)
11:04:11	328609/328609	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Dec%202021%2019:47:18%20GMT	https://barestostudio.com/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.5.2	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/elementor-pro/assets/css/frontend.min49eb.css	(from https://barestostudio.com/maesha-rifaldi/)
11:04:12	51791/51791	---M-Z	200	added ('OK')	text/css	date:Sat,%2005%20Mar%202022%2011:33:49%20GMT	https://barestostudio.com/wp-content/uploads/elementor/css/global.css?ver=1646480029	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/uploads/elementor/css/global3702.css	(from https://barestostudio.com/maesha-rifaldi/)
11:04:13	55492/55492	---M-Z	200	added ('OK')	text/css	date:Sat,%2005%20Mar%202022%2023:49:31%20GMT	https://barestostudio.com/wp-content/uploads/elementor/css/post-1963.css?ver=1646524171	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/uploads/elementor/css/post-19630637.css	(from https://barestostudio.com/maesha-rifaldi/)
11:04:14	57912/57912	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Dec%202021%2019:46:40%20GMT	https://barestostudio.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://barestostudio.com/maesha-rifaldi/)
11:04:15	669/669	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Dec%202021%2019:46:40%20GMT	https://barestostudio.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://barestostudio.com/maesha-rifaldi/)
11:04:16	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Jul%202021%2020:06:55%20GMT	https://barestostudio.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:17	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2019%20Nov%202020%2008:01:14%20GMT	https://barestostudio.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:18	1392/1392	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20May%202021%2012:13:11%20GMT	https://barestostudio.com/wp-content/plugins/lbg-audio1-html5/audio1_html5/js/jquery.mousewheel.min.js?ver=6.0	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/lbg-audio1-html5/audio1_html5/js/jquery.mousewheel.minf049.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:19	11417/11417	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20May%202021%2012:13:11%20GMT	https://barestostudio.com/wp-content/plugins/lbg-audio1-html5/audio1_html5/js/jquery.touchSwipe.min.js?ver=6.0	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/lbg-audio1-html5/audio1_html5/js/jquery.touchSwipe.minf049.js	(from https://barestostudio.com/maesha-rifaldi/)
